h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
0.959306538,0.288094461,2,0.719182372,1,0.6,127541.91,286.72,114.69,-8803.95,3107.75,2.83,-1375.8,838.36,1.64,790.18,14108.06,0.06,50.1,0.98,160.56,3.65,1.29,1.61,2.24,1.91,2.77,3.16,1,1,0,0,1,0,0,0,0,0,0
1.828118682,0.173909694,2,1.167816997,3,5.51,128512.25,283.09,113.24,10422.04,6050.62,1.72,1326.2,1007.42,1.32,1109.11,31039.53,0.04,48.5,0.85,159.58,3.25,1.47,2.66,3.53,2.36,3.85,5.03,0,0,0,1,0,0,0,0,0,1,1
1.451981306,0.200446129,2,1.18689096,1,3.07,128249.18,282.26,112.9,-7951.73,4776.56,1.67,1217.05,952.48,1.28,961.68,31937.8,0.03,18.9,0.34,60.34,1.27,1.39,2.22,3.28,2.7,4.36,4.56,0,0,0,0,0,0,0,0,1,0,0
1.120621085,0.199192613,2,1.068321824,0,1.56,105272.84,232.13,92.85,-7205.52,3654.16,1.97,-1147.42,883.26,1.3,623.22,26589.83,0.02,36.5,0.71,122.42,2.77,1.37,2.1,3.58,2.75,3.43,4.31,0,0,0,0,1,0,0,0,0,0,0
2.149032354,0.127829745,2,1.135572791,0,0.84,94519.65,205.98,82.39,-6124.43,7137.64,0.86,973.98,1042.07,0.94,621.63,29554.11,0.02,7.3,0.14,25.03,0.57,1.97,4.08,5.42,4.58,5.11,6.81,1,0,0,0,1,0,0,0,0,0,0
1.440458894,0.061498601,2,1.050627112,2,5.38,46626.69,98.87,39.55,-3990.41,4737.53,0.84,-634.41,950.47,0.67,350.67,25839.94,0.01,38.4,0.71,95.38,2.05,1.12,1.8,2.79,2.24,3.47,4.25,0,0,0,0,1,0,0,0,0,0,0
1.441747189,0.260255337,2,0.96061343,2,6.62,151007.15,337.26,134.9,-10596.61,4741.89,2.24,-1677.41,950.69,1.76,931.39,22219.16,0.04,42.2,0.77,100.27,2.13,1.37,2.02,2.4,2.21,3.49,4.21,0,0,0,0,1,0,0,0,0,0,0
1.364489436,0.146738842,6,0.764363885,3,4.78,90379.34,202.93,81.17,-3272.89,4480.2,0.73,-790.43,936.57,0.84,264.57,15448.64,0.02,20.6,0.36,60.46,1.25,2.23,2.92,3.02,3.78,7.13,7.6,0,0,0,1,0,0,0,0,0,1,1
1.470071912,0.162717268,2,0.819859505,0,6.52,107254.89,239.37,95.75,-8554.2,4837.84,1.77,-1310.91,955.6,1.37,602.91,17206.99,0.04,63.5,1.09,222.38,4.47,1.5,1.68,3.59,2.14,2.88,5.13,0,0,0,0,1,1,0,0,1,0,0
0.95336324,0.283536285,2,1.194321156,3,6.05,150455.37,333.33,133.33,10925.4,3087.62,3.54,1598.91,836.52,1.91,1214.37,32291.66,0.04,201.2,3.48,650.28,13.14,0.8,1.33,2,1.23,2.33,2.93,0,0,0,0,0,0,0,0,0,0,0
